# E          M           C            S
-0.92350000  0.60049999  1.75752322  0.76350645
-1.17250000  0.69524997  1.63428711  0.68908728
-1.30600000  0.75725001  1.50996094  0.57323014
-1.42000000  0.80024999  1.36773626  0.50290832
-1.43800000  0.81950003  1.18455097  0.39255824
-1.46200000  0.82200003  1.20987942  0.40460799
-1.48200000  0.83300000  1.23356074  0.40360304
-1.50700000  0.83700001  1.09068032  0.38823077
-1.52750000  0.84824997  1.06012379  0.33409073
-1.51200000  0.84824997  1.18206474  0.32747974
-1.50750000  0.84950000  1.07628428  0.29819114
-1.56050000  0.86874998  0.95320355  0.24630898
-1.53900000  0.86150002  1.01851133  0.26491089
-1.54650000  0.85974997  0.98660603  0.28857622
-1.52850000  0.85224998  1.05994976  0.31389125
-1.52550000  0.84875000  1.13737090  0.35102486
-1.52950000  0.85049999  1.08307790  0.34261622
-1.54550000  0.85699999  1.06847131  0.33486830
-1.49700000  0.84450001  1.09546630  0.32442327
-1.51250000  0.85374999  0.96875491  0.25485927
-1.51600000  0.85224998  1.03487382  0.28083712
-1.56600000  0.86725003  1.05087891  0.28714802
-1.58750000  0.87475002  0.93767706  0.25583858
-1.55250000  0.86849999  0.89618813  0.23284448
-1.51600000  0.84925002  1.09625257  0.32123862
-1.49850000  0.84450001  1.01041166  0.30062429
-1.53600000  0.85325003  1.05572706  0.31905260
-1.49550000  0.84549999  1.06940364  0.30148802
-1.49750000  0.84275001  1.11917171  0.33003898
-1.51750000  0.85175002  0.98848935  0.27935218
-1.51950000  0.84875000  1.08071598  0.32237764
-1.49750000  0.84549999  1.06400853  0.30016615
-1.48550000  0.84224999  1.15738504  0.31747015
-1.45600000  0.83324999  1.11589378  0.31626766
-1.47950000  0.83450001  1.07670694  0.34321516
-1.51750000  0.85175002  1.08949236  0.30667711
-1.47500000  0.83600003  1.17124654  0.34008976
-1.50700000  0.84525001  1.17847525  0.34126872
-1.51300000  0.85399997  0.98619658  0.26793541
-1.54550000  0.86374998  0.95581409  0.25406615
-1.53350000  0.85775000  1.06753275  0.30178013
-1.55550000  0.86299998  0.98219919  0.28677689
-1.52250000  0.85575002  1.06556242  0.28980645
-1.49350000  0.84050000  1.08409725  0.33889609
-1.50950000  0.84425002  1.10181784  0.33907892
-1.52550000  0.85500002  0.98819721  0.27174927
-1.54200000  0.86224997  0.95948516  0.25469367
-1.50850000  0.84925002  1.12906690  0.32300138
-1.53700000  0.85575002  1.03063791  0.29950207
-1.54100000  0.85850000  1.04520720  0.30085672
-1.52850000  0.85025001  1.04518778  0.32423918
-1.52600000  0.84724998  1.07474670  0.34428357
-1.52250000  0.85049999  1.01972259  0.31705447
-1.49950000  0.84425002  1.12695982  0.32497598
-1.51850000  0.85299999  1.05519485  0.28481994
-1.54100000  0.85974997  0.95974311  0.26477723
-1.55250000  0.86849999  0.90628843  0.22491163
-1.54700000  0.86299998  0.92624740  0.25107820
-1.59400000  0.87024999  0.91963714  0.28917557
-1.57000000  0.86725003  1.04685744  0.29199583
-1.56550000  0.86799997  0.94503008  0.26144420
-1.53550000  0.85650003  0.95600056  0.28934496
-1.53650000  0.85850000  0.95422291  0.26603941
-1.52550000  0.85175002  1.04258346  0.30843988
-1.56600000  0.86350000  0.93899864  0.28994473
-1.54100000  0.85750002  1.00635989  0.30017624
-1.52850000  0.85675001  0.96127758  0.26671232
-1.49550000  0.84799999  1.03133327  0.27251464
-1.52000000  0.84799999  1.02354905  0.30909471
-1.47450000  0.83399999  1.19408798  0.36628659
-1.51650000  0.84850001  1.10902169  0.34101527
-1.43600000  0.82525003  1.16356720  0.35032968
-1.47200000  0.83700001  1.01070146  0.30493411
-1.48800000  0.84275001  1.08727729  0.31285057
-1.50150000  0.84399998  1.08499851  0.32376592
-1.50950000  0.84574997  1.13134180  0.34015533
-1.52400000  0.85124999  1.10302755  0.34132882
-1.55150000  0.86100000  1.00528382  0.29830924
-1.57800000  0.87124997  0.91808947  0.25970708
-1.57500000  0.87250000  0.86357581  0.23397973
-1.56450000  0.86425000  1.08062275  0.31143708
-1.53900000  0.86150002  0.97811012  0.25874079
-1.52950000  0.85374999  1.02869166  0.29276120
-1.49800000  0.84600002  1.08460460  0.29199835
-1.50900000  0.85124999  1.04007936  0.27962790
-1.53050000  0.85450000  0.97878063  0.29893172
-1.50650000  0.84775001  1.00329483  0.30216765
-1.50200000  0.84125000  1.12422886  0.35975083
-1.54300000  0.85549998  0.97864466  0.30318017
-1.54100000  0.85175002  1.10813985  0.35163094
-1.52100000  0.85275000  1.05139170  0.29950585
-1.51850000  0.85425001  1.05519485  0.28233173
-1.52100000  0.85250002  1.05993810  0.31066540
-1.54250000  0.85850000  1.08638458  0.31672243
-1.52250000  0.85149997  1.05546212  0.31078224
-1.49600000  0.84600002  0.97812566  0.28494645
-1.49050000  0.84425002  0.99071452  0.28354768
-1.49050000  0.84450001  1.14454989  0.32530466
-1.49600000  0.84200001  1.07679784  0.32242220
-1.52400000  0.85825002  1.02067124  0.25782705
