# E          M           C            S
-1.10100000  0.66374999  2.66335979  0.90378854
-1.38300000  0.77925003  2.72268769  0.78820100
-1.54900000  0.83925003  2.32477025  0.62602170
-1.63650000  0.87175000  1.78825141  0.51380855
-1.70150000  0.89574999  1.51913198  0.43337732
-1.75000000  0.91624999  1.31673712  0.34919148
-1.78400000  0.92699999  1.09561805  0.30064502
-1.83200000  0.94674999  0.71776861  0.16920033
-1.84200000  0.94999999  0.74745317  0.18444992
-1.86100000  0.95975000  0.58714107  0.10986361
-1.83650000  0.95349997  0.60112657  0.11770950
-1.85950000  0.95975000  0.61139248  0.12007907
-1.87500000  0.96525002  0.48765656  0.08352877
-1.86100000  0.96050000  0.48535806  0.09082584
-1.84150000  0.95475000  0.72409075  0.13095323
-1.85950000  0.95975000  0.52635858  0.10248535
-1.85850000  0.95875001  0.55067312  0.10344768
-1.88600000  0.96749997  0.48187940  0.08575546
-1.88150000  0.96775001  0.42044241  0.06575427
-1.85400000  0.95999998  0.48151865  0.07684439
-1.87550000  0.96550000  0.45544546  0.07659271
-1.87250000  0.96300000  0.57652343  0.10675145
-1.86850000  0.96149999  0.49516917  0.10458809
-1.86150000  0.96125001  0.49058250  0.08994036
-1.87200000  0.96324998  0.53785748  0.10550009
-1.87850000  0.96499997  0.49403539  0.10068138
-1.85800000  0.95875001  0.49905110  0.10628543
-1.83700000  0.95300001  0.64899422  0.11785239
-1.84150000  0.95599997  0.61715417  0.09990036
-1.85300000  0.95800000  0.65523004  0.11565006
-1.87600000  0.96499997  0.42838535  0.08365542
-1.85950000  0.96025002  0.54954964  0.09887524
-1.85500000  0.96025002  0.57964778  0.09149753
-1.86500000  0.96300000  0.50131352  0.07553674
-1.86150000  0.96350002  0.44935394  0.06281694
-1.86650000  0.96249998  0.45507440  0.08655000
-1.88350000  0.96700001  0.44992083  0.08262002
-1.84550000  0.95775002  0.59783859  0.09077118
-1.85700000  0.95950001  0.58519302  0.10315270
-1.86100000  0.96050000  0.55621965  0.09536635
-1.86250000  0.96149999  0.50617720  0.09493985
-1.87200000  0.96425003  0.48245660  0.08005127
-1.88200000  0.96625000  0.45132904  0.08301675
-1.88000000  0.96625000  0.43728041  0.08074623
-1.86000000  0.96050000  0.48134343  0.09366359
-1.82400000  0.95125002  0.68297170  0.11774955
-1.86450000  0.95924997  0.58371781  0.13276478
-1.83850000  0.95349997  0.69981743  0.13076325
-1.85400000  0.95775002  0.62066504  0.12141811
-1.85900000  0.95674998  0.62290685  0.14050621
-1.85150000  0.95649999  0.70899079  0.13661953
-1.84350000  0.95300001  0.54953934  0.12636509
-1.84400000  0.95275003  0.63602268  0.14856860
-1.84600000  0.95599997  0.61473844  0.11238635
-1.85800000  0.95875001  0.62144839  0.11877142
-1.86400000  0.96200001  0.51151243  0.09244958
-1.87350000  0.96600002  0.46187711  0.06782291
-1.85950000  0.95975000  0.59464338  0.10645809
-1.85150000  0.95775002  0.59045868  0.10098664
-1.85150000  0.95700002  0.58917029  0.11431048
-1.87000000  0.96375000  0.46820183  0.07972490
-1.87400000  0.96550000  0.43482731  0.07318720
-1.87550000  0.96574998  0.42194725  0.07419500
-1.85500000  0.96149999  0.44178978  0.06315792
-1.83250000  0.95450002  0.67289519  0.10265368
-1.87000000  0.96149999  0.56483127  0.11593909
-1.87400000  0.96425003  0.53403353  0.10104997
-1.87250000  0.96474999  0.39614848  0.06561788
-1.86000000  0.96100003  0.43496130  0.07188604
-1.85500000  0.95850003  0.55387993  0.10070519
-1.84600000  0.95499998  0.65210182  0.13144198
-1.87150000  0.96550000  0.42188541  0.06467449
-1.86750000  0.96300000  0.42938901  0.07894226
-1.87350000  0.96625000  0.42709051  0.06599026
-1.88350000  0.96749997  0.49114939  0.08234994
-1.87500000  0.96450001  0.48121459  0.08901050
-1.88700000  0.96775001  0.43795553  0.08051025
-1.87100000  0.96375000  0.48886249  0.08596762
-1.84950000  0.95674998  0.66210361  0.11950697
-1.86750000  0.96050000  0.51571130  0.10955510
-1.85500000  0.95850003  0.58222456  0.10921844
-1.87300000  0.96350002  0.49021273  0.08722115
-1.85600000  0.95950001  0.49352647  0.08612675
-1.86500000  0.96149999  0.55929118  0.10629085
-1.87100000  0.96450001  0.50561159  0.08276724
-1.87300000  0.96525002  0.47088684  0.07161055
-1.86100000  0.96200001  0.60131339  0.09301680
-1.86000000  0.96100003  0.48907379  0.08380427
-1.86150000  0.95924997  0.60267264  0.12368431
-1.82500000  0.95074999  0.81233146  0.14000664
-1.84750000  0.95749998  0.64480823  0.10788914
-1.84450000  0.95625001  0.64262312  0.11173361
-1.84850000  0.95800000  0.60256957  0.09465136
-1.84850000  0.95625001  0.71723650  0.12762457
-1.84250000  0.95424998  0.64326216  0.12713475
-1.84350000  0.95550001  0.68482055  0.12163190
-1.85000000  0.95800000  0.57204626  0.10146185
-1.84950000  0.95725000  0.58093488  0.09889852
-1.85450000  0.96025002  0.53187290  0.08638979
-1.84500000  0.95599997  0.65695133  0.11125136
